model,epoch,val_loss_nats,val_loss_bits,val_ppl,p00,p01,zero_violation,ece,mce,brier,accuracy,avg_conf,p0_given_E,p0_given_O,frac_O,argmax0_given_O
ar,1,0.537218,0.775042,1.711239,0.502480,0.270539,0.521068,0.017186,0.049376,0.375457,0.671144,0.654683,0.446029,0.151884,0.333400,0.000000
ar,2,0.494686,0.713681,1.639983,0.485334,0.231616,0.000000,0.028164,0.251286,0.354092,0.667193,0.683945,0.448735,0.051528,0.333400,0.000000
ar,3,0.483390,0.697384,1.621562,0.470007,0.239601,0.000000,0.016676,0.367361,0.349898,0.667193,0.683719,0.451495,0.046518,0.333400,0.000000
ar,4,0.480615,0.693380,1.617068,0.486524,0.254313,0.000000,0.014626,0.606026,0.345899,0.662651,0.668888,0.476607,0.042307,0.333400,0.000000
ar,5,0.482712,0.696407,1.620464,0.505392,0.264317,0.855193,0.013463,0.201164,0.346224,0.665613,0.665851,0.494081,0.046176,0.333400,0.000000
ar,6,0.477358,0.688682,1.611811,0.474242,0.254941,0.000000,0.015172,0.141849,0.343071,0.666008,0.674884,0.477702,0.028806,0.333400,0.000000
ar,7,0.475067,0.685377,1.608122,0.485122,0.253470,0.000000,0.012532,0.107315,0.342160,0.664626,0.670160,0.482135,0.027987,0.333400,0.000000
ar,8,0.472698,0.681960,1.604317,0.506358,0.261221,0.921068,0.010094,0.246929,0.341115,0.664231,0.672477,0.502855,0.023475,0.333400,0.000000
ar,9,0.470537,0.678842,1.600854,0.499697,0.253151,0.667656,0.015039,0.319114,0.339878,0.663243,0.675067,0.495698,0.015014,0.333400,0.000000
ar,10,0.466228,0.672624,1.593970,0.503445,0.256997,0.682493,0.010633,0.157164,0.338931,0.665416,0.673332,0.501097,0.015579,0.333400,0.000000
