epoch,val_loss_nats,val_loss_bits,val_ppl,p00,p01,zero_violation
1,0.548738,0.791662,1.731068,0.624579,0.220112,0.686747
2,0.542765,0.783044,1.720757,0.742860,0.212932,0.987952
3,0.559685,0.807454,1.750120,0.657549,0.164621,0.787149
1,0.548738,0.791662,1.731068,0.624579,0.220112,0.686747
2,0.542765,0.783044,1.720757,0.742860,0.212932,0.987952
3,0.559685,0.807454,1.750120,0.657549,0.164621,0.787149
1,0.543938,0.784737,1.722778,0.642397,0.205919,0.702811
2,0.540275,0.779453,1.716480,0.706178,0.187432,0.811245
3,0.537790,0.775867,1.712219,0.748543,0.246309,0.917671
4,0.554291,0.799673,1.740706,0.702430,0.205481,0.777108
5,0.557355,0.804093,1.746048,0.701308,0.218025,0.740964
6,0.599168,0.864416,1.820603,0.690726,0.186139,0.815261
1,0.548738,0.791662,1.731068,0.624579,0.220112,0.686747
2,0.542765,0.783044,1.720757,0.742860,0.212932,0.987952
3,0.559685,0.807454,1.750120,0.657549,0.164621,0.787149
