history,marg_count,p_emp,p_neural
,49997,0.5906754405264316,0.5272026321579295
1,29532,0.7825071109305161,0.7811964658787947
11,23109,0.7871824830152754,0.7839983338574938
0,20465,0.31390178353286097,0.21593473663430907
111,18191,0.8030894398328844,0.7898005507610453
00,14041,0.2244142155117157,0.18693230927784332
000,10890,0.1751147842056933,0.17135117244340445
01,6424,0.7657222914072229,0.7909869351578533
10,6423,0.5095749649696404,0.37520377728228466
011,4919,0.7284000813173409,0.7810782020666619
110,4918,0.5734038226921513,0.4841281733846412
101,3273,0.8600672166208372,0.8265946522126921
001,3151,0.6677245318946367,0.7541554108504713
100,3150,0.3949206349206349,0.2700167246285631
010,1505,0.3009966777408638,0.2167886231441879
