history,marg_count,p_emp,p_neural
,49995,0.5906590659065907,0.5271977197719772
1,29530,0.7824923806298679,0.7811920467886002
11,23107,0.787164062838101,0.7839928078043414
0,20465,0.31390178353286097,0.21593473663430907
111,18189,0.8030677882236517,0.7897940552782754
1111,14607,0.7920859861710139,0.7862630689936013
00,14041,0.2244142155117157,0.18693230927784332
11111,11570,0.808124459809853,0.7892977928259488
000,10890,0.1751147842056933,0.17135117244340445
0000,8983,0.16275186463319605,0.1683879414789294
00000,7521,0.1552984975402207,0.16770577287872251
01,6424,0.7657222914072229,0.7909869351578533
10,6423,0.5095749649696404,0.37520377728228466
011,4919,0.7284000813173409,0.7810782020666619
110,4918,0.5734038226921513,0.4841281733846412
0111,3583,0.8478928272397432,0.8153289016006358
1110,3582,0.551926298157454,0.5298932204294444
101,3273,0.8600672166208372,0.8265946522126921
001,3151,0.6677245318946367,0.7541554108504713
100,3150,0.3949206349206349,0.2700167246285631
01111,3038,0.7310730743910467,0.774310492679984
11110,3037,0.5805070793546263,0.5789653359626836
1101,2820,0.8709219858156029,0.8293390884738454
1011,2815,0.6980461811722913,0.7751716793830975
11011,2456,0.6954397394136808,0.7713377496948954
0011,2104,0.7690114068441065,0.7988418758923782
1100,2098,0.48474737845567206,0.3325826610407452
11101,1977,0.8629236216489631,0.8229704378588247
10111,1965,0.8844783715012723,0.825768612950009
0001,1907,0.5537493445201888,0.7081475318875933
1000,1906,0.2334732423924449,0.20782388126290108
00111,1618,0.8034610630407911,0.8085600529257431
11100,1605,0.46105919003115264,0.4066728225935285
010,1505,0.3009966777408638,0.2167886231441879
00001,1462,0.5177838577291382,0.6776069990831916
10000,1461,0.20123203285420946,0.19675702711886792
0110,1336,0.6309880239520959,0.3291614408061517
1001,1244,0.842443729903537,0.8263238505918497
11000,1081,0.2599444958371878,0.24548977729826407
00011,1056,0.7945075757575758,0.802093630221032
0100,1052,0.21577946768060838,0.18690607939658854
10011,1048,0.7433206106870229,0.7933254832173646
0010,1047,0.35912129894937916,0.23564527516378714
11001,1017,0.8869223205506391,0.8377762635293287
00010,851,0.3654524089306698,0.24969781522462497
10110,850,0.6858823529411765,0.5015079150059644
01101,843,0.8896797153024911,0.8334950283965181
01000,825,0.1987878787878788,0.18300796210913167
00100,671,0.22950819672131148,0.19880902198444353
01110,545,0.3926605504587156,0.28695095360697626
01100,493,0.5618661257606491,0.30611369536602157
00110,486,0.5349794238683128,0.3059523970125223
1010,458,0.16812227074235808,0.25067200333349976
0101,453,0.7924944812362031,0.8050562969044047
10001,445,0.6719101123595506,0.7668357461833458
10100,381,0.19160104986876642,0.2330621769583617
00101,376,0.8430851063829787,0.8137883520890756
11010,364,0.13186813186813187,0.33618606574819243
01011,359,0.7158774373259053,0.7815314184822411
01001,227,0.6431718061674009,0.7502089139911046
10010,196,0.33163265306122447,0.27743684988885164
01010,94,0.30851063829787234,0.23540601896996557
10101,77,0.5454545454545454,0.7324730313057294
