history,marg_count,p_emp,p_neural
,9995,0.5949974987493747,0.5284992496248124
1,5947,0.7805616277114511,0.7806128209130752
11,4642,0.7856527358897027,0.783539409719822
0,4048,0.32262845849802374,0.21855273912385792
111,3647,0.8031258568686592,0.7898114758717777
1111,2929,0.7893479003072721,0.7854416432344787
00,2742,0.2261123267687819,0.18744174265496316
11111,2312,0.8006055363321799,0.7870421157826468
000,2122,0.1823751178133836,0.17352927252571154
0000,1735,0.1665706051873199,0.16953356364516656
00000,1446,0.1590594744121715,0.16883406594030775
01,1306,0.7626339969372129,0.7900604468168503
10,1305,0.5256704980842912,0.3800324372166799
011,996,0.7218875502008032,0.7791244427317006
110,995,0.5959798994974874,0.4909009964262421
0111,719,0.8595271210013908,0.8188191897291299
1110,718,0.5487465181058496,0.5289392864139632
101,686,0.8542274052478134,0.824842708800785
001,620,0.6612903225806451,0.7522251480562738
100,619,0.3764135702746365,0.26446460523476356
01111,618,0.7475728155339806,0.7792604150228641
11110,617,0.5883306320907618,0.5813124017835243
1101,593,0.8752107925801011,0.8306257305031949
1011,586,0.6996587030716723,0.7756554359529119
11011,519,0.6878612716763006,0.7690642093736815
0011,410,0.7536585365853659,0.794236014814756
10111,410,0.8902439024390244,0.8274982722313348
1100,402,0.4552238805970149,0.32372561168314806
11101,394,0.8756345177664975,0.826783706694085
0001,387,0.5788113695090439,0.7156661393842498
1000,386,0.2538860103626943,0.2139477116539759
11100,324,0.44753086419753085,0.40261432484344195
010,310,0.3,0.21648961982192874
00111,309,0.8187702265372169,0.8131528019746708
00001,289,0.5294117647058824,0.6810953711762148
10000,288,0.2048611111111111,0.19784575059593842
0110,277,0.7184115523465704,0.355388499324494
1001,233,0.7982832618025751,0.8130757101615611
00011,224,0.8035714285714286,0.8048127860651878
11000,219,0.319634703196347,0.26339683950601184
0100,217,0.2304147465437788,0.19129666305553966
0010,210,0.3761904761904762,0.24076602833611624
01101,199,0.8743718592964824,0.8289026715947156
10011,186,0.6935483870967742,0.7783938161402901
11001,183,0.8579234972677595,0.8290766165444647
10110,176,0.7954545454545454,0.534379572759975
01000,167,0.16766467065868262,0.1736709996703728
00010,163,0.3619631901840491,0.24865104960063877
00100,131,0.20610687022900764,0.19178862403675237
00110,101,0.5841584158415841,0.3207060946045037
01110,101,0.3069306930693069,0.26123199639015365
1010,100,0.14,0.24223532211079235
10001,98,0.7244897959183674,0.7826096512509908
0101,93,0.7204301075268817,0.7834369847916083
10100,86,0.26744186046511625,0.2558144201372667
00101,79,0.7721518987341772,0.7925083897944352
01100,78,0.48717948717948717,0.283707703791673
11010,74,0.08108108108108109,0.3209499505120772
01011,67,0.7910447761194029,0.8040816201202904
01001,50,0.58,0.7312573721408844
10010,47,0.425531914893617,0.3056066284385694
01010,26,0.3076923076923077,0.2351605197882962
10101,14,0.42857142857142855,0.6974080962407944
