history,marg_count,p_emp,p_neural
,9997,0.5939781934580374,0.5281934580374112
1,5938,0.7842707982485685,0.7459528908379434
11,4657,0.7874167919261327,0.7470284814152108
0,4059,0.3158413402315841,0.672437636352606
111,3667,0.803381510771748,0.7513514993283573
00,2777,0.22398271516024487,0.6480941836954746
000,2155,0.17076566125290024,0.6318049943691877
01,1282,0.7730109204368175,0.7143288287376278
10,1281,0.5152224824355972,0.674408723275927
011,991,0.7285570131180625,0.656660186897065
110,990,0.5808080808080808,0.6991323165821306
101,660,0.8515151515151516,0.7033919789376264
001,622,0.6897106109324759,0.7015872074243319
100,621,0.40901771336553944,0.6601446424417449
010,291,0.2920962199312715,0.5584346182567557
