history,marg_count,p_emp,p_neural
,9996,0.593937575030012,0.5281812725090036
1,5937,0.7842344618494189,0.7817146711544656
11,4656,0.7873711340206185,0.7840549291590968
0,4059,0.3158413402315841,0.216516603643926
111,3666,0.8033278777959629,0.7898720821499688
1111,2945,0.7891341256366723,0.7853775108332988
00,2777,0.22398271516024487,0.18680285917240205
000,2155,0.17076566125290024,0.17004643555756652
0000,1787,0.1505316172355904,0.16472186725964771
01,1282,0.7730109204368175,0.7931735238667317
10,1281,0.5152224824355972,0.3768980325220717
011,991,0.7285570131180625,0.7811252816068784
110,990,0.5808080808080808,0.48634945081942005
0111,722,0.8614958448753463,0.8194098068913166
1110,721,0.5617198335644937,0.5328312810515563
101,660,0.8515151515151516,0.8240290326809865
001,622,0.6897106109324759,0.760751234561823
100,621,0.40901771336553944,0.27424584816203446
1101,575,0.8626086956521739,0.8268451014248167
1011,562,0.6779359430604982,0.7691386079495596
0011,429,0.7948717948717948,0.8065999923006848
1100,415,0.4963855421686747,0.33607411015464594
0001,368,0.5760869565217391,0.7148488154880583
1000,367,0.26975476839237056,0.2187083390628788
010,291,0.2920962199312715,0.2141184858013102
0110,269,0.6319702602230484,0.3294561116874374
1001,254,0.8543307086614174,0.8298899442192138
0100,206,0.23300970873786409,0.19207515171376527
0010,193,0.3626943005181347,0.2367171756344138
1010,98,0.15306122448979592,0.2461536894577311
0101,85,0.7764705882352941,0.800249129004132
