history,marg_count,p_emp,p_neural
,9997,0.5939781934580374,0.5281934580374112
1,5938,0.7842707982485685,0.7817255720742105
11,4657,0.7874167919261327,0.784068626530751
0,4059,0.3158413402315841,0.216516603643926
111,3667,0.803381510771748,0.7898881720427043
00,2777,0.22398271516024487,0.18680285917240205
000,2155,0.17076566125290024,0.17004643555756652
01,1282,0.7730109204368175,0.7931735238667317
10,1281,0.5152224824355972,0.3768980325220717
011,991,0.7285570131180625,0.7811252816068784
110,990,0.5808080808080808,0.48634945081942005
101,660,0.8515151515151516,0.8240290326809865
001,622,0.6897106109324759,0.760751234561823
100,621,0.40901771336553944,0.27424584816203446
010,291,0.2920962199312715,0.2141184858013102
