history,L,count,p_emp,p_model,p_calibrated
0,1,16766,0.5009543299674988,0.5144974589347839,0.5409685373306274
00,2,8367,0.49766942858695984,0.5144974589347839,0.5409685373306274
000,3,4203,0.49536046385765076,0.5144974589347839,0.5409685373306274
0000,4,2121,0.48797735571861267,0.5144974589347839,0.5409685373306274
00000,5,1086,0.4861878454685211,0.5144974589347839,0.5409685373306274
000000,6,558,0.5053763389587402,0.5144974589347839,0.5409685373306274
0000000,7,276,0.510869562625885,0.5144974589347839,0.5409685373306274
00000000,8,135,0.46666666865348816,0.5144974589347839,0.5409685373306274
00000001,8,141,1.0,0.5200592279434204,0.6340470314025879
0000001,7,282,1.0,0.5200592279434204,0.6340470314025879
00000011,8,282,0.4609929025173187,0.5190531015396118,0.6177205443382263
000001,6,528,1.0,0.5200592279434204,0.6340470314025879
0000011,7,528,0.469696968793869,0.5190531015396118,0.6177205443382263
00000110,8,280,0.46071428060531616,0.5145156979560852,0.5412825345993042
00000111,8,248,1.0,0.5214688181877136,0.6564118266105652
00001,5,1035,1.0,0.5200592279434204,0.6340470314025879
000011,6,1035,0.4763284921646118,0.5190531015396118,0.6177205443382263
0000110,7,542,0.4797047972679138,0.5145156979560852,0.5412825345993042
00001100,8,282,0.4680851101875305,0.5171858668327332,0.5867363810539246
00001101,8,260,1.0,0.5275502800941467,0.744452953338623
0000111,7,493,1.0,0.5214688181877136,0.6564118266105652
00001111,8,493,0.4787018299102783,0.5250310301780701,0.7097992897033691
0001,4,2082,1.0,0.5200592279434204,0.6340470314025879
00011,5,2082,0.4927953779697418,0.5190531015396118,0.6177205443382263
000110,6,1056,0.47159090638160706,0.5145156979560852,0.5412825345993042
0001100,7,558,0.4982078969478607,0.5171858668327332,0.5867363810539246
00011000,8,280,0.5607143044471741,0.518926203250885,0.6156411170959473
00011001,8,278,1.0,0.5293957591056824,0.7680572867393494
0001101,7,498,1.0,0.5275502800941467,0.744452953338623
00011011,8,498,0.5200803279876709,0.5264291763305664,0.7293695211410522
000111,6,1026,1.0,0.5214688181877136,0.6564118266105652
0001111,7,1026,0.4736842215061188,0.5250310301780701,0.7097992897033691
00011110,8,540,0.5018518567085266,0.5177162289619446,0.5956181287765503
00011111,8,486,1.0,0.526989758014679,0.736980140209198
001,3,4164,1.0,0.5200592279434204,0.6340470314025879
0011,4,4164,0.4915946125984192,0.5190531015396118,0.6177205443382263
00110,5,2117,0.4964572489261627,0.5145156979560852,0.5412825345993042
001100,6,1066,0.4924952983856201,0.5171858668327332,0.5867363810539246
0011000,7,541,0.5378928184509277,0.518926203250885,0.6156411170959473
00110000,8,250,0.5120000243186951,0.5200132727622986,0.6333088874816895
00110001,8,291,1.0,0.5299455523490906,0.774790346622467
0011001,7,525,1.0,0.5293957591056824,0.7680572867393494
00110011,8,525,0.47238096594810486,0.5274440050125122,0.7430469989776611
001101,6,1051,1.0,0.5275502800941467,0.744452953338623
0011011,7,1051,0.5080875158309937,0.5264291763305664,0.7293695211410522
00110110,8,517,0.4893617033958435,0.5187032222747803,0.6119786500930786
00110111,8,534,1.0,0.5285234451293945,0.7570917010307312
00111,5,2047,1.0,0.5214688181877136,0.6564118266105652
001111,6,2047,0.4904738664627075,0.5250310301780701,0.7097992897033691
0011110,7,1043,0.5158197283744812,0.5177162289619446,0.5956181287765503
00111100,8,505,0.4910891056060791,0.5215145349502563,0.6571260094642639
00111101,8,538,1.0,0.5346708297729492,0.8269200921058655
0011111,7,1004,1.0,0.526989758014679,0.736980140209198
00111111,8,1004,0.4940239191055298,0.5301434993743896,0.7771798968315125
01,2,8399,1.0,0.5200592279434204,0.6340470314025879
011,3,8398,0.49464157223701477,0.5190531015396118,0.6177205443382263
0110,4,4244,0.4922243058681488,0.5145156979560852,0.5412825345993042
01100,5,2155,0.5044083595275879,0.5171858668327332,0.5867363810539246
011000,6,1068,0.5131086111068726,0.518926203250885,0.6156411170959473
0110000,7,520,0.47884616255760193,0.5200132727622986,0.6333088874816895
01100000,8,271,0.43911439180374146,0.5210031270980835,0.6490930914878845
01100001,8,249,1.0,0.5277237892150879,0.746737539768219
0110001,7,548,1.0,0.5299455523490906,0.774790346622467
01100011,8,548,0.529197096824646,0.5254504084587097,0.7157561182975769
011001,6,1087,1.0,0.5293957591056824,0.7680572867393494
0110011,7,1087,0.48114076256752014,0.5274440050125122,0.7430469989776611
01100110,8,564,0.5017730593681335,0.5192393660545349,0.620764434337616
01100111,8,523,1.0,0.5264843702316284,0.7301245331764221
01101,5,2089,1.0,0.5275502800941467,0.744452953338623
011011,6,2089,0.5069411396980286,0.5264291763305664,0.7293695211410522
0110110,7,1030,0.4883495271205902,0.5187032222747803,0.6119786500930786
01101100,8,527,0.5237191915512085,0.5221295952796936,0.6666697859764099
01101101,8,503,1.0,0.5330924391746521,0.8106461763381958
0110111,7,1059,1.0,0.5285234451293945,0.7570917010307312
01101111,8,1059,0.493862122297287,0.5289434194564819,0.7624145150184631
0111,4,4154,1.0,0.5214688181877136,0.6564118266105652
