history,L,count,p_emp,p_model,p_calibrated
0,1,26558,1.0,0.6143270134925842,
01,2,26558,0.5057986378669739,0.5459244847297668,
010,3,13125,1.0,0.6929299235343933,
0101,4,13125,0.5067428350448608,0.5466983318328857,
01010,5,6474,1.0,0.8174689412117004,
010101,6,6474,0.5047883987426758,0.547575831413269,
0101010,7,3206,1.0,0.9272961020469666,
01010101,8,3206,0.5040549039840698,0.5485680103302002,
0101011,7,3267,0.4903581142425537,0.548403799533844,
01010110,8,1665,1.0,0.9848868250846863,
01010111,8,1602,0.5006242394447327,0.5491049885749817,
01011,5,6650,0.4932330846786499,0.5473639965057373,
010110,6,3370,1.0,0.9346327185630798,
0101101,7,3370,0.4964391589164734,0.5484046339988708,
01011010,8,1697,1.0,0.9814600944519043,
01011011,8,1673,0.5062761306762695,0.5492435097694397,
010111,6,3280,0.5076219439506531,0.5480785965919495,
0101110,7,1615,1.0,0.9823634624481201,
01011101,8,1615,0.5133126974105835,0.549224853515625,
0101111,7,1665,0.49669671058654785,0.5488408803939819,
01011110,8,838,1.0,0.9928332567214966,
01011111,8,827,0.5066505670547485,0.5496437549591064,
011,3,13432,0.5010423064231873,0.5467423796653748,
0110,4,6702,1.0,0.8315808773040771,
01101,5,6702,0.4974634349346161,0.5473825931549072,
011010,6,3368,1.0,0.9268463253974915,
0110101,7,3368,0.5074228048324585,0.5486090779304504,
01101010,8,1659,1.0,0.9797458052635193,
01101011,8,1709,0.49912229180336,0.549437403678894,
011011,6,3334,0.5137972235679626,0.5482660531997681,
0110110,7,1621,1.0,0.979492723941803,
01101101,8,1621,0.4966070353984833,0.5494202971458435,
0110111,7,1713,0.483946293592453,0.5491575598716736,
01101110,8,884,1.0,0.992429792881012,
01101111,8,829,0.4969843327999115,0.5499933958053589,
0111,4,6730,0.5011886954307556,0.5472766757011414,
01110,5,3357,1.0,0.941891610622406,
011101,6,3357,0.509085476398468,0.5482599139213562,
0111010,7,1648,1.0,0.975037693977356,
01110101,8,1648,0.5,0.5496364831924438,
0111011,7,1709,0.4839087128639221,0.5493086576461792,
01110110,8,882,1.0,0.9903258085250854,
01110111,8,827,0.5175332427024841,0.5502895712852478,
01111,5,3373,0.48888230323791504,0.5478094220161438,
011110,6,1724,1.0,0.9804139733314514,
0111101,7,1724,0.502900242805481,0.5492463707923889,
01111010,8,857,1.0,0.9870320558547974,
01111011,8,867,0.512110710144043,0.5503676533699036,
011111,6,1649,0.5057610869407654,0.5483608841896057,
0111110,7,815,1.0,0.9887274503707886,
01111101,8,815,0.5190184116363525,0.5502837300300598,
0111111,7,834,0.5107913613319397,0.5489456653594971,
01111110,8,408,1.0,0.9881988763809204,
01111111,8,426,0.5187793374061584,0.5495474934577942,
1,1,53441,0.5030407309532166,0.5459244847297668,
10,2,26558,1.0,0.6929299235343933,
101,3,26558,0.5057986378669739,0.5466983318328857,
1010,4,13125,1.0,0.8174689412117004,
10101,5,13125,0.5067428350448608,0.547575831413269,
101010,6,6474,1.0,0.9272961020469666,
1010101,7,6474,0.5047883987426758,0.5485680103302002,
10101010,8,3206,1.0,0.9731981754302979,
10101011,8,3267,0.4903581142425537,0.5492487549781799,
101011,6,6650,0.4932330846786499,0.548403799533844,
1010110,7,3370,1.0,0.9848868250846863,
10101101,8,3370,0.4964391589164734,0.549218475818634,
1010111,7,3280,0.5076219439506531,0.5491049885749817,
10101110,8,1615,1.0,0.9911596179008484,
10101111,8,1665,0.49669671058654785,0.5497580766677856,
1011,4,13432,0.5010423064231873,0.5473639965057373,
10110,5,6702,1.0,0.9346327185630798,
101101,6,6702,0.4974634349346161,0.5484046339988708,
1011010,7,3368,1.0,0.9814600944519043,
10110101,8,3368,0.5074228048324585,0.5494338274002075,
1011011,7,3334,0.5137972235679626,0.5492435097694397,
10110110,8,1621,1.0,0.9888942837715149,
10110111,8,1713,0.483946293592453,0.5500082969665527,
10111,5,6730,0.5011886954307556,0.5480785965919495,
101110,6,3357,1.0,0.9823634624481201,
1011101,7,3357,0.509085476398468,0.549224853515625,
10111010,8,1648,1.0,0.985123336315155,
10111011,8,1709,0.4839087128639221,0.5501105189323425,
101111,6,3373,0.48888230323791504,0.5488408803939819,
1011110,7,1724,1.0,0.9928332567214966,
10111101,8,1724,0.502900242805481,0.5500591397285461,
1011111,7,1649,0.5057610869407654,0.5496437549591064,
10111110,8,815,1.0,0.9889596700668335,
10111111,8,834,0.5107913613319397,0.5504839420318604,
11,2,26882,0.5003347992897034,0.5467423796653748,
110,3,13432,1.0,0.8315808773040771,
1101,4,13432,0.5048391819000244,0.5473825931549072,
11010,5,6651,1.0,0.9268463253974915,
110101,6,6651,0.5086452960968018,0.5486090779304504,
1101010,7,3268,1.0,0.9797458052635193,
11010101,8,3268,0.5055079460144043,0.5494274497032166,
1101011,7,3383,0.4960094690322876,0.549437403678894,
11010110,8,1705,1.0,0.9868592023849487,
11010111,8,1678,0.5143027305603027,0.5500469207763672,
