history,L,count,p_emp,p_model,p_calibrated
0,1,26558,1.0,0.6143270134925842,0.9905791878700256
01,2,26558,0.5057986378669739,0.5459244847297668,0.8632053732872009
010,3,13125,1.0,0.6929299235343933,0.9997079968452454
0101,4,13125,0.5067428350448608,0.5466983318328857,0.8668504357337952
01010,5,6474,1.0,0.8174689412117004,0.9999996423721313
010101,6,6474,0.5047883987426758,0.547575831413269,0.8708853721618652
0101010,7,3206,1.0,0.9272961020469666,1.0
01010101,8,3206,0.5040549039840698,0.5485680103302002,0.8753229975700378
0101011,7,3267,0.4903581142425537,0.548403799533844,0.8745975494384766
01010110,8,1665,1.0,0.9848868250846863,1.0
01010111,8,1602,0.5006242394447327,0.5491049885749817,0.8776703476905823
01011,5,6650,0.4932330846786499,0.5473639965057373,0.8699206113815308
010110,6,3370,1.0,0.9346327185630798,1.0
0101101,7,3370,0.4964391589164734,0.5484046339988708,0.8746011853218079
01011010,8,1697,1.0,0.9814600944519043,1.0
01011011,8,1673,0.5062761306762695,0.5492435097694397,0.8782695531845093
010111,6,3280,0.5076219439506531,0.5480785965919495,0.873150110244751
0101110,7,1615,1.0,0.9823634624481201,1.0
01011101,8,1615,0.5133126974105835,0.549224853515625,0.8781892657279968
0101111,7,1665,0.49669671058654785,0.5488408803939819,0.8765205144882202
01011110,8,838,1.0,0.9928332567214966,1.0
01011111,8,827,0.5066505670547485,0.5496437549591064,0.8799878358840942
011,3,13432,0.5010423064231873,0.5467423796653748,0.8670555353164673
0110,4,6702,1.0,0.8315808773040771,0.9999998807907104
01101,5,6702,0.4974634349346161,0.5473825931549072,0.8700057864189148
011010,6,3368,1.0,0.9268463253974915,1.0
0110101,7,3368,0.5074228048324585,0.5486090779304504,0.8755037188529968
01101010,8,1659,1.0,0.9797458052635193,1.0
01101011,8,1709,0.49912229180336,0.549437403678894,0.8791045546531677
011011,6,3334,0.5137972235679626,0.5482660531997681,0.8739861249923706
0110110,7,1621,1.0,0.979492723941803,1.0
01101101,8,1621,0.4966070353984833,0.5494202971458435,0.8790311813354492
0110111,7,1713,0.483946293592453,0.5491575598716736,0.8778982162475586
01101110,8,884,1.0,0.992429792881012,1.0
01101111,8,829,0.4969843327999115,0.5499933958053589,0.8814714550971985
0111,4,6730,0.5011886954307556,0.5472766757011414,0.8695214986801147
01110,5,3357,1.0,0.941891610622406,1.0
011101,6,3357,0.509085476398468,0.5482599139213562,0.8739588856697083
0111010,7,1648,1.0,0.975037693977356,1.0
01110101,8,1648,0.5,0.5496364831924438,0.8799566030502319
0111011,7,1709,0.4839087128639221,0.5493086576461792,0.8785507082939148
01110110,8,882,1.0,0.9903258085250854,1.0
01110111,8,827,0.5175332427024841,0.5502895712852478,0.8827163577079773
01111,5,3373,0.48888230323791504,0.5478094220161438,0.8719416856765747
011110,6,1724,1.0,0.9804139733314514,1.0
0111101,7,1724,0.502900242805481,0.5492463707923889,0.8782822489738464
01111010,8,857,1.0,0.9870320558547974,1.0
01111011,8,867,0.512110710144043,0.5503676533699036,0.8830425143241882
011111,6,1649,0.5057610869407654,0.5483608841896057,0.8744071125984192
0111110,7,815,1.0,0.9887274503707886,1.0
01111101,8,815,0.5190184116363525,0.5502837300300598,0.8826918601989746
0111111,7,834,0.5107913613319397,0.5489456653594971,0.8769778609275818
01111110,8,408,1.0,0.9881988763809204,1.0
01111111,8,426,0.5187793374061584,0.5495474934577942,0.879576563835144
1,1,53441,0.5030407309532166,0.5459244847297668,0.8632053732872009
10,2,26558,1.0,0.6929299235343933,0.9997079968452454
101,3,26558,0.5057986378669739,0.5466983318328857,0.8668504357337952
1010,4,13125,1.0,0.8174689412117004,0.9999996423721313
10101,5,13125,0.5067428350448608,0.547575831413269,0.8708853721618652
101010,6,6474,1.0,0.9272961020469666,1.0
1010101,7,6474,0.5047883987426758,0.5485680103302002,0.8753229975700378
10101010,8,3206,1.0,0.9731981754302979,1.0
10101011,8,3267,0.4903581142425537,0.5492487549781799,0.8782922625541687
101011,6,6650,0.4932330846786499,0.548403799533844,0.8745975494384766
1010110,7,3370,1.0,0.9848868250846863,1.0
10101101,8,3370,0.4964391589164734,0.549218475818634,0.8781614899635315
1010111,7,3280,0.5076219439506531,0.5491049885749817,0.8776703476905823
10101110,8,1615,1.0,0.9911596179008484,1.0
10101111,8,1665,0.49669671058654785,0.5497580766677856,0.8804747462272644
1011,4,13432,0.5010423064231873,0.5473639965057373,0.8699206113815308
10110,5,6702,1.0,0.9346327185630798,1.0
101101,6,6702,0.4974634349346161,0.5484046339988708,0.8746011853218079
1011010,7,3368,1.0,0.9814600944519043,1.0
10110101,8,3368,0.5074228048324585,0.5494338274002075,0.8790892362594604
1011011,7,3334,0.5137972235679626,0.5492435097694397,0.8782695531845093
10110110,8,1621,1.0,0.9888942837715149,1.0
10110111,8,1713,0.483946293592453,0.5500082969665527,0.8815344572067261
10111,5,6730,0.5011886954307556,0.5480785965919495,0.873150110244751
101110,6,3357,1.0,0.9823634624481201,1.0
1011101,7,3357,0.509085476398468,0.549224853515625,0.8781892657279968
10111010,8,1648,1.0,0.985123336315155,1.0
10111011,8,1709,0.4839087128639221,0.5501105189323425,0.8819652795791626
101111,6,3373,0.48888230323791504,0.5488408803939819,0.8765205144882202
1011110,7,1724,1.0,0.9928332567214966,1.0
10111101,8,1724,0.502900242805481,0.5500591397285461,0.8817490935325623
1011111,7,1649,0.5057610869407654,0.5496437549591064,0.8799878358840942
10111110,8,815,1.0,0.9889596700668335,1.0
10111111,8,834,0.5107913613319397,0.5504839420318604,0.8835270404815674
11,2,26882,0.5003347992897034,0.5467423796653748,0.8670555353164673
110,3,13432,1.0,0.8315808773040771,0.9999998807907104
1101,4,13432,0.5048391819000244,0.5473825931549072,0.8700057864189148
11010,5,6651,1.0,0.9268463253974915,1.0
110101,6,6651,0.5086452960968018,0.5486090779304504,0.8755037188529968
1101010,7,3268,1.0,0.9797458052635193,1.0
11010101,8,3268,0.5055079460144043,0.5494274497032166,0.8790619969367981
1101011,7,3383,0.4960094690322876,0.549437403678894,0.8791045546531677
11010110,8,1705,1.0,0.9868592023849487,1.0
11010111,8,1678,0.5143027305603027,0.5500469207763672,0.8816973567008972
11011,5,6781,0.5086270570755005,0.5482660531997681,0.8739861249923706
110110,6,3332,1.0,0.979492723941803,1.0
1101101,7,3332,0.49849939346313477,0.5494202971458435,0.8790311813354492
11011010,8,1671,1.0,0.982751190662384,1.0
11011011,8,1661,0.5213726758956909,0.5501683950424194,0.8822084665298462
110111,6,3449,0.4952160120010376,0.5491575598716736,0.8778982162475586
1101110,7,1741,1.0,0.992429792881012,1.0
11011101,8,1741,0.504882276058197,0.5501341819763184,0.882064700126648
1101111,7,1708,0.4812646508216858,0.5499933958053589,0.8814714550971985
11011110,8,886,1.0,0.9876505732536316,1.0
11011111,8,822,0.5048661828041077,0.5507586598396301,0.8846644759178162
111,3,13450,0.4996282458305359,0.5472766757011414,0.8695214986801147
1110,4,6730,1.0,0.941891610622406,1.0
11101,5,6730,0.5121842622756958,0.5482599139213562,0.8739588856697083
111010,6,3283,1.0,0.975037693977356,1.0
1110101,7,3283,0.5098994970321655,0.5496364831924438,0.8799566030502319
11101010,8,1609,1.0,0.9769564270973206,1.0
11101011,8,1674,0.4928315281867981,0.5502532720565796,0.8825644254684448
111011,6,3447,0.5036263465881348,0.5493086576461792,0.8785507082939148
1110110,7,1711,1.0,0.9903258085250854,1.0
11101101,8,1711,0.5002922415733337,0.5502251386642456,0.8824463486671448
1110111,7,1736,0.5063363909721375,0.5502895712852478,0.8827163577079773
11101110,8,857,1.0,0.9839081168174744,1.0
11101111,8,879,0.4664391279220581,0.5509861707687378,0.8855994343757629
1111,4,6720,0.4980654716491699,0.5478094220161438,0.8719416856765747
11110,5,3373,1.0,0.9804139733314514,1.0
111101,6,3373,0.5152683258056641,0.5492463707923889,0.8782822489738464
1111010,7,1635,1.0,0.9870320558547974,1.0
11110101,8,1635,0.5198776721954346,0.550251305103302,0.882556140422821
1111011,7,1738,0.5230149626731873,0.5503676533699036,0.8830425143241882
11110110,8,829,1.0,0.9774969220161438,1.0
11110111,8,909,0.49614962935447693,0.5511103868484497,0.886107325553894
11111,5,3347,0.507319986820221,0.5483608841896057,0.8744071125984192
111110,6,1649,1.0,0.9887274503707886,1.0
1111101,7,1649,0.5281988978385925,0.5502837300300598,0.8826918601989746
11111010,8,778,1.0,0.9662833213806152,1.0
11111011,8,871,0.5338690876960754,0.5510304570198059,0.8857809901237488
111111,6,1698,0.5088339447975159,0.5489456653594971,0.8769778609275818
1111110,7,834,1.0,0.9881988763809204,1.0
11111101,8,834,0.5371702909469604,0.550850510597229,0.8850429654121399
1111111,7,864,0.5069444179534912,0.5495474934577942,0.879576563835144
11111110,8,426,1.0,0.9450448155403137,1.0
11111111,8,438,0.4954337775707245,0.5472573041915894,0.8694325685501099
