history,marg_count,p_emp,p_neural
,49994,0.6646597591711005,0.5493979277513301
1,33229,0.7472990460140239,0.60130120170278
11,24832,0.6618476159793815,0.5715419493447249
0,16765,0.5009245451834178,0.5128885809759842
111,16435,0.7473075752966231,0.5936742575310646
1111,12282,0.6617814688161537,0.5661804751450853
01,8398,1.0,0.6743768319116135
011,8398,0.4946415813288878,0.5193486339022407
10,8397,0.504108610217935,0.5198987729743618
110,8397,0.504108610217935,0.516654164333691
00,8367,0.49766941556113303,0.5104763665811204
11111,8128,0.7472933070866141,0.5912306051554641
111111,6074,0.6618373394797498,0.5663346002401964
0110,4244,0.4922243166823751,0.5090843512845787
101,4233,1.0,0.6771035492420197
1011,4233,0.4977557287975431,0.5224794737300213
1101,4233,1.0,0.6727745532989502
11011,4233,0.4977557287975431,0.5199166118190935
000,4203,0.4953604568165596,0.5083192023545481
001,4164,1.0,0.6691021978855133
0011,4164,0.4915946205571566,0.51510680460166
100,4164,0.5,0.5167466809376084
1100,4164,0.5,0.5150334607054752
0111,4154,1.0,0.6687459010633289
01111,4154,0.4944631680308137,0.5163930602210269
11110,4154,0.5163697640828118,0.51798641207015
1110,4153,0.5162533108596196,0.5185533340038118
01100,2155,0.5044083526682135,0.5123036483213685
111101,2145,1.0,0.6691797196865081
11101,2144,1.0,0.6689559688853015
111011,2144,0.48880597014925375,0.5153166484026698
10110,2126,0.48824082784571965,0.5093703239343128
110110,2126,0.48824082784571965,0.5097363728444575
0000,2121,0.48797736916548795,0.5046341787386143
00110,2117,0.4964572508266415,0.5085808896653223
10111,2107,1.0,0.6713566192580276
101111,2107,0.4983388704318937,0.5207880099067639
110111,2107,1.0,0.670466642691691
011110,2100,0.5152380952380953,0.5165632859210585
01101,2089,1.0,0.6666737794876099
011011,2089,0.5069411201531834,0.5188060473362038
0001,2082,1.0,0.6657915631408431
00011,2082,0.49279538904899134,0.5130021179080121
1000,2082,0.5028818443804035,0.5152250179954941
1001,2082,1.0,0.672873604297638
10011,2082,0.4903938520653218,0.5173028632611981
11000,2082,0.5028818443804035,0.5142774412624884
11001,2082,1.0,0.6704910925177066
110011,2082,0.4903938520653218,0.5170999937868515
011111,2054,1.0,0.6685679316520691
111110,2054,0.5175267770204479,0.5189465773609466
00111,2047,1.0,0.6668119251728057
001111,2047,0.49047386419149974,0.5142240338664434
11100,2009,0.4952712792434047,0.5123551778347479
111100,2009,0.4952712792434047,0.5129308552332884
101100,1088,0.515625,0.5180894147335912
011001,1087,1.0,0.6657094717025757
00000,1086,0.4861878453038674,0.5028465623963512
011000,1068,0.5131086142322098,0.514954218549055
001100,1066,0.4924953095684803,0.5078358039999945
100110,1061,0.5212064090480678,0.5184035033914528
000110,1056,0.4715909090909091,0.5004312076351859
001101,1051,1.0,0.6665381063979299
10001,1047,1.0,0.6693255534567104
100011,1047,0.5090735434574976,0.5213990592683283
110001,1047,1.0,0.6692317375769693
101101,1038,1.0,0.6717036119611147
00001,1035,1.0,0.6632917545263913
000011,1035,0.47632850241545893,0.5069419604285059
10000,1035,0.48985507246376814,0.5085521333589489
110000,1035,0.48985507246376814,0.5095502262011817
000111,1026,1.0,0.6653436204586255
100111,1021,1.0,0.6693989029347569
111000,1014,0.4921104536489152,0.5113732703338714
111001,995,1.0,0.6686749100685119
000000,558,0.5053763440860215,0.5085910965671923
000001,528,1.0,0.6617273211479187
100000,528,0.4659090909090909,0.5003970525481484
100001,507,1.0,0.6672789335250855
